State,Category,Sub-Category1,Sub-Category2,Sub-Category 3,Sub-Category 4,Display Names,2010,2011,2012,2013
Madhya Pradesh,Total Expenditure (Capital Disbursements + Revenue Expenditure),,,,Total Expenditure,Tot.Exp,3000280.4,3844736.3,3785680.9,4135191.7
Madhya Pradesh,TOTAL CAPITAL DISBURSEMENTS (I to XII),,,,TOTAL CAPITAL DISBURSEMENTS,Tot.Cap.Disb,2550164.5,3317799.2,3132596.9,3391305.2
Madhya Pradesh,TOTAL CAPITAL DISBURSEMENTS (I to XII),I. Total Capital Outlay (1 + 2) Sub Category 1,,,TOTAL CAPITAL DISBURSEMENTS-Total Capital Outlay,Tot.Cap.Outlay,87998.8,90551.7,110794.2,111136.1
Madhya Pradesh,TOTAL CAPITAL DISBURSEMENTS (I to XII),I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,,Total Capital Outlay-Development ,Tot.Cap.Outlay-Dev,86212.3,88880.1,108419.4,107880.4
Madhya Pradesh,TOTAL CAPITAL DISBURSEMENTS (I to XII),I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(a) Social Services (1 to 9), Development -Social Services,Dev-Social,15320.3,15991.2,17085.5,20098.2
Madhya Pradesh,TOTAL CAPITAL DISBURSEMENTS (I to XII),I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(a) Social Services (1 to 9)," Social ServicesEducation, Sports, Art and Culture",Education,2711.6,1717.2,1434.3,1555.2
Madhya Pradesh,TOTAL CAPITAL DISBURSEMENTS (I to XII),I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(a) Social Services (1 to 9), Social Services- Medical and Public Health,Medical,1148.7,1415.7,2244.4,2262.5
Madhya Pradesh,TOTAL CAPITAL DISBURSEMENTS (I to XII),I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(a) Social Services (1 to 9), Social Services- Family Welfare,Family,–,–,–,–
Madhya Pradesh,TOTAL CAPITAL DISBURSEMENTS (I to XII),I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(a) Social Services (1 to 9), Social Services- Water Supply and Sanitation,water,5744.2,6719.3,6330.5,7278.6
Madhya Pradesh,TOTAL CAPITAL DISBURSEMENTS (I to XII),I. Total Capital Outlay (1 + 2) Sub Category 1,1. Development (a + b) Sub Category 2,(a) Social Services (1 to 9), Social Services- Housing,housing,187.8,113.4,488.5,770
